#{"t_start": 1626354269.592577, "env_id": null}
r,l,t
100,3,4.772364
50,2,4.777306
100,3,4.779618
200,5,4.781929
150,4,4.785343
150,4,4.787134
50,2,4.788155
100,3,4.789492
200,5,4.792277
50,2,4.793273
50,2,4.794419
50,2,4.795562
150,4,4.79804
50,2,4.799107
200,5,4.801285
50,2,4.802309
100,3,4.804277
50,2,4.805267
100,3,4.806674
150,4,4.808556
50,2,4.810099
150,4,4.811902
100,3,4.813257
50,2,4.814504
50,2,4.816739
150,4,4.818661
150,4,4.820442
100,3,4.82179
100,3,4.823823
100,3,4.825177
50,2,4.82615
50,2,4.827144
50,2,4.828731
50,2,4.82973
100,3,4.963354
50,2,6.615151
100,3,7.644649
150,4,9.110757
50,2,11.050188
50,2,12.027998
50,2,13.027872
100,3,13.991903
150,4,15.485351
100,3,17.454662
50,2,18.941165
100,3,19.962643
50,2,21.40557
50,2,22.348336
100,3,23.309803
50,2,24.767296
100,3,25.746192
50,2,27.259354
100,3,28.233587
50,2,29.691045
100,3,30.673882
150,4,32.131419
200,5,34.162752
100,3,36.543706
50,2,37.978333
50,2,38.979608
50,2,39.936423
50,2,40.919017
100,3,41.917741
50,2,43.386896
100,3,44.322197
100,3,45.776594
50,2,47.265423
150,4,48.257697
50,2,50.176126
100,3,51.159286
100,3,52.661731
100,3,54.136037
100,3,55.568282
50,2,57.000062
50,2,57.982064
50,2,58.945489
100,3,59.894018
50,2,61.295489
50,2,62.210604
50,2,63.120439
150,4,64.080662
100,3,66.011754
50,2,67.442557
150,4,68.357492
50,2,70.182733
50,2,71.094518
50,2,72.004994
50,2,72.915591
50,2,73.851405
150,4,74.825524
50,2,76.750007
50,2,77.752246
50,2,78.741891
50,2,79.703779
50,2,80.670829
100,3,81.687605
50,2,83.17027
50,2,84.1295
50,2,85.046977
50,2,85.958543
100,3,86.898815
150,4,88.352251
50,2,90.27638
50,2,91.193816
100,3,92.145256
100,3,93.561967
100,3,94.924856
50,2,96.385471
50,2,97.42723
50,2,98.388244
50,2,99.34888
100,3,100.321904
50,2,101.754551
50,2,102.759163
100,3,103.715197
50,2,105.229207
50,2,106.167345
100,3,107.181936
50,2,108.596062
200,5,109.52725
50,2,111.947603
50,2,112.935535
150,4,113.860997
100,3,115.79764
50,2,117.330487
150,4,118.302841
100,3,120.271526
100,3,121.77597
100,3,123.315833
50,2,124.724582
100,3,125.638576
50,2,127.001301
100,3,127.913259
50,2,129.279952
50,2,130.191894
150,4,131.10763
50,2,132.924903
50,2,133.835839
50,2,134.745731
50,2,135.657627
150,4,136.573894
50,2,138.387602
100,3,139.300323
50,2,140.663285
50,2,141.576727
50,2,142.507353
50,2,143.435961
50,2,144.365917
50,2,145.296396
50,2,146.226653
150,4,147.162075
50,2,149.023547
100,3,149.958232
50,2,151.362205
50,2,152.300067
50,2,153.238594
50,2,154.179671
100,3,155.120787
100,3,156.528987
50,2,157.932067
150,4,158.875337
100,3,160.745335
50,2,162.149074
100,3,163.088152
100,3,164.495759
100,3,165.903563
100,3,167.307869
100,3,168.71304
100,3,170.122457
150,4,171.528747
50,2,173.396122
50,2,174.334231
50,2,175.273316
150,4,176.217172
50,2,178.087505
50,2,179.025584
100,3,179.965922
200,5,181.37455
50,2,183.70764
50,2,184.647326
100,3,185.588268
100,3,186.992475
50,2,188.394933
200,5,189.360999
100,3,191.715005
100,3,193.132897
150,4,194.543595
50,2,196.412216
50,2,197.350209
100,3,198.289707
50,2,199.694587
50,2,200.63245
100,3,201.573378
50,2,202.977388
50,2,203.915285
100,3,204.853984
200,5,206.263865
50,2,208.598753
50,2,209.536984
100,3,210.540403
100,3,211.94842
100,3,213.353091
100,3,214.758562
50,2,216.161286
50,2,217.100442
50,2,218.038164
100,3,218.978451
100,3,220.383209
50,2,221.78757
50,2,222.725261
50,2,223.663232
200,5,224.606796
150,4,226.946232
50,2,228.813173
100,3,229.752164
100,3,231.156978
50,2,232.560935
200,5,233.507224
50,2,235.844157
50,2,236.783603
200,5,237.729713
50,2,240.0645
100,3,241.004391
100,3,242.409141
100,3,243.816289
50,2,245.219427
50,2,246.159511
50,2,247.09726
50,2,248.035474
50,2,248.972896
100,3,249.910516
200,5,251.318694
50,2,253.653763
50,2,254.591139
50,2,255.52917
50,2,256.467426
100,3,257.407097
100,3,258.812454
100,3,260.221301
50,2,261.627762
150,4,262.569354
100,3,264.438969
50,2,265.842402
50,2,266.780072
100,3,267.721103
100,3,269.128872
100,3,270.540053
100,3,271.946815
50,2,273.35279
100,3,274.293204
50,2,275.697362
50,2,276.635543
50,2,277.575424
150,4,278.517255
50,2,280.384645
50,2,281.322604
50,2,282.261425
50,2,283.201559
150,4,284.145173
50,2,286.013664
100,3,286.951795
50,2,288.35467
50,2,289.291923
200,5,290.234598
50,2,292.572977
100,3,293.514631
100,3,294.922666
50,2,296.327665
150,4,297.274324
50,2,299.144753
100,3,300.085408
100,3,301.489136
50,2,302.896607
50,2,303.838459
150,4,304.782594
100,3,306.656273
50,2,308.062715
