#{"t_start": 1628130611.9771528, "env_id": null}
r,l,t
2920.5,501,1.941865
3461.0,501,2.62648
3186.0,501,3.27272
2590.5,501,3.928051
1852.5,501,4.554248
2202.5,501,5.170044
1299.5,501,5.781961
3109.5,501,6.391078
3667.5,501,6.99683
2680.5,501,7.604845
2073.0,501,8.205151
2828.5,501,8.799853
1911.0,501,9.388978
3582.0,501,10.033375
4809.5,501,10.636741
2491.0,501,11.238241
3565.5,501,11.84013
1371.5,501,12.443218
2261.0,501,13.045863
2468.0,501,13.673326
2631.0,501,14.306298
2242.5,501,14.909311
2755.0,501,15.514846
1810.5,501,16.11369
2235.0,501,16.730471
1721.5,501,17.332463
3126.0,501,17.928454
3067.0,501,18.529688
2362.5,501,19.130293
2643.0,501,19.721667
1272.5,501,20.314546
1988.0,501,20.915301
2949.0,501,21.512949
3179.5,501,22.112937
2113.5,501,22.703041
1310.5,501,23.302835
3027.5,501,23.906363
2164.0,501,24.52192
1884.5,501,25.120375
2111.5,501,25.725157
2974.5,501,26.341651
1107.0,501,26.937535
1733.0,501,27.530237
1823.5,501,28.117703
2353.5,501,28.73354
2611.5,501,29.362443
2858.5,501,29.966085
1789.5,501,30.600026
1829.0,501,31.204181
1434.0,501,31.803925
1303.5,501,32.402405
1949.0,501,33.00325
1179.0,501,33.613673
2959.5,501,34.229285
1872.0,501,34.858772
2097.0,501,35.472963
1888.0,501,36.094985
2475.5,501,36.711197
2928.0,501,37.320872
1230.5,501,37.949693
1445.5,501,38.608762
1884.5,501,39.26276
1570.5,501,39.903413
1894.5,501,40.521525
954.5,501,41.116673
1977.5,501,41.731805
2052.0,501,42.33619
3317.0,501,42.95795
2206.5,501,43.580749
2596.5,501,44.204976
1989.5,501,44.834846
4620.0,501,45.465692
1491.0,501,46.077682
2560.5,501,46.69697
3580.5,501,47.313776
2547.0,501,47.931632
2987.5,501,48.545684
3376.5,501,49.15166
1590.0,501,49.760754
3834.5,501,50.38197
4693.5,501,51.021439
2800.5,501,51.637408
1939.0,501,52.236163
1303.5,501,52.873279
2257.5,501,53.483229
2451.0,501,54.086231
1411.5,501,54.70379
2187.0,501,55.309761
3783.0,501,55.938754
2074.0,501,56.567681
1439.0,501,57.185379
2247.0,501,57.809639
1526.0,501,58.431122
2621.0,501,59.045251
1944.0,501,59.659196
2074.5,501,60.289747
2536.5,501,60.91567
2534.5,501,61.534508
2614.5,501,62.151993
1247.0,501,63.015302
1896.0,501,64.911028
2255.5,501,66.78645
2307.5,501,68.688108
3295.0,501,70.54064
2333.5,501,72.397718
1838.5,501,74.320932
1617.5,501,76.17918
1446.0,501,78.06037
3206.5,501,79.998456
1796.0,501,81.875513
2391.0,501,83.736408
2079.0,501,85.558813
1534.5,501,87.453392
1975.5,501,89.361097
3022.5,501,91.282543
2362.5,501,93.163275
1587.5,501,94.970044
2047.5,501,96.802233
1323.5,501,98.635344
2830.5,501,100.453672
2695.5,501,102.351113
4525.5,501,104.211664
2900.0,501,106.038402
3498.0,501,107.841248
2009.0,501,109.745766
1178.0,501,111.590479
2357.0,501,113.509371
2889.0,501,115.380531
1532.0,501,117.205223
2280.0,501,119.120162
2232.0,501,120.955568
1702.5,501,122.818992
3658.5,501,124.695561
1388.0,501,126.5632
1072.5,501,128.380689
1525.0,501,130.322078
4683.5,501,132.231464
2616.0,501,134.13725
1967.5,501,135.983224
3117.0,501,137.832677
3567.0,501,139.740581
2688.0,501,141.497581
3438.0,501,143.252763
1709.0,501,145.007959
2703.0,501,146.792686
2990.0,501,148.569442
1849.5,501,150.347103
3205.5,501,152.132651
4699.5,501,153.919299
1563.0,501,155.676936
2517.0,501,157.429028
2912.0,501,159.186116
2646.0,501,160.950287
2924.0,501,162.705682
