#{"t_start": 1627960620.44219, "env_id": null}
r,l,t
193.5,501,2.391019
72.0,501,3.347711
210.0,501,4.984108
166.0,501,5.963806
181.5,501,7.205895
240.0,501,8.152864
100.0,501,9.478665
337.0,501,10.405708
245.5,501,11.630806
-106.0,501,12.572532
136.0,501,13.801626
-275.0,501,14.706676
-56.0,501,15.938797
87.5,501,16.865088
236.5,501,18.113708
32.0,501,19.071017
-70.0,501,20.320663
35.0,501,21.24347
16.5,501,22.553484
85.0,501,23.492669
40.0,501,24.687025
-30.5,501,25.561402
-263.0,501,26.755731
282.5,501,27.638812
-158.0,501,28.866181
18.0,501,29.745785
-60.0,501,30.953087
132.5,501,31.84617
302.0,501,33.061626
-1.0,501,33.975214
-168.0,501,35.200984
-85.0,501,36.086214
-258.0,501,37.3031
-372.0,501,38.206654
-309.0,501,39.417223
-153.0,501,40.334227
-213.0,501,41.587428
-208.5,501,42.47962
-277.5,501,43.658103
-33.0,501,44.552224
103.5,501,45.753604
-7.5,501,46.677692
310.0,501,47.912143
-156.0,501,48.823534
13.5,501,50.063993
181.5,501,50.977323
58.5,501,51.870485
43.5,501,53.019372
108.0,501,53.874942
-75.0,501,55.064717
148.5,501,55.951903
-402.0,501,57.125438
-124.0,501,58.013106
-209.5,501,59.208758
-32.5,501,60.092809
-304.5,501,61.306936
-6.0,501,62.19675
-148.0,501,63.425045
-246.0,501,64.343844
-75.0,501,65.524315
-43.0,501,66.401333
-292.5,501,67.642741
-217.5,501,68.554597
-329.5,501,69.778753
-259.5,501,70.643057
-109.5,501,71.843589
-72.0,501,72.739047
-211.5,501,73.953134
169.5,501,74.864093
-532.0,501,76.094421
-124.5,501,77.011141
-55.5,501,78.226266
-266.5,501,79.103098
-75.5,501,80.310234
-187.5,501,81.215441
-142.5,501,82.444521
-102.0,501,83.357284
-247.5,501,84.597927
-201.0,501,85.501412
-155.5,501,86.728106
-215.5,501,87.606678
16.0,501,88.807557
-180.0,501,89.697268
70.0,501,90.891366
71.5,501,91.767772
-36.0,501,92.977615
-153.5,501,93.878021
-20.5,501,95.118381
-138.0,501,96.005529
-248.0,501,97.194762
-60.0,501,98.088925
47.5,501,99.276452
-130.5,501,100.181329
-78.0,501,101.059434
151.5,501,102.262389
25.0,501,103.157121
-89.0,501,104.386561
-338.5,501,105.292432
72.0,501,106.50723
10.5,501,107.401922
-73.5,501,108.619149
-89.5,501,109.514829
-295.0,501,110.745541
-132.0,501,111.662776
-55.0,501,112.912198
-329.0,501,113.829555
39.5,501,115.04372
-185.5,501,115.912431
-102.0,501,117.136966
-105.0,501,118.038942
-199.0,501,119.25622
-164.5,501,120.154473
73.0,501,121.368728
11.0,501,122.259306
128.0,501,123.457703
21.5,501,124.342641
34.5,501,125.612932
222.5,501,126.508803
37.5,501,127.709954
92.5,501,128.588656
28.0,501,129.79579
-204.0,501,130.668409
-165.0,501,131.878472
33.0,501,132.791034
-187.5,501,134.032556
-103.0,501,134.948369
-200.0,501,136.177842
-210.5,501,137.085713
-148.5,501,138.311866
-21.0,501,139.199867
-6.0,501,140.403402
-63.5,501,141.312535
-260.5,501,142.506072
-212.5,501,143.409907
-225.5,501,144.621382
-91.0,501,145.513218
-198.0,501,146.707848
0.0,501,147.623368
-331.5,501,148.821902
76.5,501,149.732881
68.0,501,150.615422
72.5,501,151.828495
139.5,501,152.716768
-36.0,501,153.895765
164.0,501,154.791052
161.0,501,156.01309
170.5,501,156.897884
251.5,501,158.118098
135.5,501,159.012704
159.5,501,160.208814
262.0,501,161.099815
-64.0,501,162.320741
154.0,501,163.215389
-200.5,501,164.465355
60.0,501,165.346031
-15.5,501,166.531581
-9.0,501,167.404019
-191.0,501,168.57102
45.0,501,169.421397
-9.0,501,170.646252
-173.5,501,171.52289
190.5,501,172.754257
150.5,501,173.6241
7.5,501,174.845685
287.5,501,175.76976
119.0,501,177.024344
178.5,501,177.941983
328.5,501,179.167701
303.0,501,180.087473
-96.0,501,181.320972
-118.0,501,182.212927
-8.5,501,183.443222
-198.0,501,184.347327
10.0,501,185.580919
253.5,501,186.498564
-72.0,501,187.728048
-221.0,501,188.61109
42.5,501,189.849271
202.5,501,190.735476
-186.0,501,191.934733
20.5,501,192.779933
244.5,501,193.904003
-110.0,501,194.799837
173.0,501,196.029301
-89.0,501,196.907382
13.5,501,198.063143
256.5,501,198.947014
149.5,501,199.842412
-150.5,501,201.031763
-222.0,501,201.922121
-63.0,501,203.140405
43.5,501,204.083323
-76.5,501,205.316768
7.5,501,206.251403
-17.0,501,207.486192
-5.0,501,208.415669
201.0,501,209.659572
157.0,501,210.586869
63.0,501,211.811204
-130.5,501,212.704461
-85.5,501,213.974668
16.5,501,214.892386
-154.5,501,216.115926
-207.0,501,217.006317
-158.0,501,218.251818
27.0,501,219.194252
-97.5,501,220.425659
-114.5,501,221.318651
-191.5,501,222.551024
-315.0,501,223.465637
-105.5,501,224.716793
-239.5,501,225.667861
-203.0,501,226.904136
-198.5,501,227.820659
-233.5,501,229.067444
-187.5,501,230.000216
-341.0,501,231.303534
-282.5,501,232.288889
-98.5,501,233.653943
-297.0,501,234.610029
-84.5,501,236.165105
-127.5,501,237.083335
-150.0,501,238.265411
30.0,501,239.132475
-281.5,501,240.271828
-77.0,501,241.161592
-21.5,501,242.374558
95.5,501,243.239276
-256.5,501,244.395984
-309.0,501,245.298645
-50.5,501,246.502077
24.0,501,247.414783
-176.0,501,248.307597
60.0,501,249.530862
-174.0,501,250.415973
100.5,501,251.620111
-39.0,501,252.498282
103.0,501,253.714107
304.5,501,254.597292
81.0,501,255.825897
160.5,501,256.723286
195.0,501,257.94706
106.5,501,258.852086
207.0,501,260.059081
171.0,501,260.951771
159.0,501,262.189174
145.5,501,263.100049
222.0,501,264.325224
10.5,501,265.205693
118.5,501,266.379278
130.5,501,267.236763
234.0,501,268.42937
108.0,501,269.318959
-292.5,501,270.533001
-10.5,501,271.425972
106.5,501,272.65986
-66.0,501,273.556291
-49.5,501,274.789223
-49.5,501,275.685216
16.5,501,276.92319
136.5,501,277.852917
91.5,501,279.073865
16.5,501,279.975612
204.0,501,281.215662
18.0,501,282.130772
24.0,501,283.349893
-48.0,501,284.215927
0.0,501,285.384286
117.0,501,286.259233
85.5,501,287.454315
43.5,501,288.357637
21.0,501,289.565634
67.5,501,290.453742
202.5,501,291.649133
157.5,501,292.543819
-267.0,501,293.76119
111.0,501,294.674149
124.5,501,295.892402
184.5,501,296.798081
-129.0,501,297.673836
64.5,501,298.885526
148.5,501,299.790951
21.0,501,300.969278
-379.0,501,301.843687
-282.0,501,303.047114
-58.5,501,303.958757
97.5,501,305.194944
70.5,501,306.126402
-57.0,501,307.335697
30.0,501,308.208522
87.0,501,309.385138
-121.5,501,310.272216
-90.0,501,311.455416
65.0,501,312.351774
-512.5,501,313.547508
-259.5,501,314.44972
-217.5,501,315.686822
-312.0,501,316.584858
-553.5,501,317.778156
-339.0,501,318.656028
-330.0,501,319.862496
-634.5,501,320.747872
-714.0,501,321.924412
-790.5,501,322.836996
-580.5,501,324.03729
-334.5,501,324.905941
-507.0,501,326.127928
-534.0,501,327.003106
-571.5,501,328.185945
-362.0,501,329.092912
-608.5,501,330.328881
-770.5,501,331.231366
-643.5,501,332.460044
-511.5,501,333.372503
-390.0,501,334.6034
-676.5,501,335.500316
-439.5,501,336.729968
-359.5,501,337.604644
-502.5,501,338.76676
-466.5,501,339.649726
-501.0,501,340.802031
-315.0,501,341.688679
-798.0,501,342.838683
-311.0,501,343.722356
-284.5,501,344.877798
-124.0,501,345.765739
-77.5,501,346.625276
-487.5,501,347.850956
-355.0,501,348.738264
-413.5,501,349.948953
-270.0,501,350.846616
-28.5,501,352.07161
-16.0,501,352.960114
-46.5,501,354.17152
-319.0,501,355.07515
-311.5,501,356.308353
50.0,501,357.206378
-517.5,501,358.43906
-285.0,501,359.339065
-330.0,501,360.565054
-7.5,501,361.45919
-16.5,501,362.631553
-52.5,501,363.494663
56.5,501,364.692479
-109.5,501,365.554039
43.5,501,366.748697
-106.5,501,367.71113
75.0,501,368.961665
-126.0,501,369.867837
82.5,501,371.112615
51.0,501,371.990967
-51.0,501,373.208711
10.5,501,374.119873
19.5,501,375.346979
-42.0,501,376.231574
120.0,501,377.405534
54.5,501,378.261293
48.0,501,379.406427
-136.5,501,380.261517
25.5,501,381.404088
-91.5,501,382.255916
132.5,501,383.439769
18.0,501,384.332327
8.5,501,385.54766
103.0,501,386.468194
100.5,501,387.693142
146.0,501,388.597227
44.0,501,389.818707
