#{"t_start": 1627565931.5966034, "env_id": null}
r,l,t
237.0,501,8.360644
196.5,501,9.772091
168.0,501,11.178207
91.5,501,12.624831
234.0,501,14.051117
-25.5,501,15.454226
164.5,501,16.852598
145.5,501,18.228122
193.0,501,19.66157
110.5,501,21.098925
37.5,501,22.512479
153.0,501,23.766554
355.5,501,25.16467
172.5,501,26.588376
206.0,501,27.960334
191.5,501,29.342674
100.5,501,30.745883
84.5,501,32.12686
266.5,501,33.508096
304.5,501,34.918945
69.5,501,36.369982
134.5,501,37.754778
274.0,501,39.139176
70.0,501,40.407848
283.0,501,41.79361
216.5,501,43.200997
217.5,501,44.578551
186.0,501,45.961741
165.5,501,47.359382
228.0,501,48.735237
184.5,501,50.148158
228.5,501,51.555254
80.5,501,52.927697
201.0,501,54.293682
97.5,501,55.552892
213.0,501,56.951257
241.0,501,58.355493
318.0,501,59.743397
291.0,501,61.14929
180.0,501,62.548622
258.5,501,63.936081
255.0,501,65.322243
318.5,501,66.719748
233.0,501,68.11997
173.5,501,69.542284
219.0,501,70.938576
3.0,501,72.198959
304.5,501,73.601429
180.5,501,74.998426
136.5,501,76.397099
257.0,501,77.788176
142.5,501,79.183249
134.5,501,80.567182
139.0,501,81.952235
234.5,501,83.345679
269.0,501,84.742463
-32.5,501,86.129428
202.0,501,87.497088
273.5,501,88.756979
-1.0,501,90.162284
175.5,501,91.549641
-29.5,501,92.926651
167.5,501,94.339499
245.5,501,95.727152
265.5,501,97.105943
159.0,501,98.493221
267.5,501,99.865407
147.0,501,101.249698
221.5,501,102.650333
213.5,501,103.910223
178.0,501,105.279986
123.5,501,106.643515
321.0,501,108.025229
279.5,501,109.41489
328.0,501,110.791961
128.0,501,112.167655
171.5,501,113.566629
267.5,501,114.928926
256.0,501,116.325303
256.5,501,117.702266
130.5,501,119.077593
241.5,501,120.346685
245.0,501,121.726785
244.0,501,123.089835
234.0,501,124.467557
212.0,501,125.844699
260.5,501,127.221666
287.5,501,128.612518
16.0,501,129.992218
288.0,501,131.38102
204.0,501,132.749056
204.5,501,134.129627
-157.0,501,135.494803
293.5,501,136.755582
117.0,501,138.14227
230.0,501,139.525766
309.0,501,140.923954
-75.0,501,142.30839
336.0,501,143.69122
91.5,501,145.053971
156.0,501,146.424203
163.0,501,147.797952
213.0,501,149.18582
189.0,501,150.563905
210.0,501,151.816799
-28.5,501,153.200656
223.0,501,154.561186
215.5,501,155.932465
165.0,501,157.309933
165.5,501,158.705695
296.5,501,160.073144
240.0,501,161.456425
105.0,501,162.845308
300.0,501,164.241139
225.5,501,165.608529
151.5,501,166.980803
157.0,501,168.236594
76.5,501,169.601209
257.0,501,170.968915
249.0,501,172.344036
67.0,501,173.719564
-3.0,501,175.089994
-22.5,501,176.458045
227.0,501,177.855324
271.0,501,179.224326
121.5,501,180.626761
145.5,501,181.99666
105.0,501,183.270693
87.5,501,184.647977
267.0,501,186.009782
239.0,501,187.390539
224.0,501,188.757122
199.0,501,190.151798
203.0,501,191.52158
143.0,501,192.899178
250.0,501,194.294935
252.0,501,195.665614
168.0,501,197.037577
14.0,501,198.413806
128.5,501,199.645986
177.5,501,201.025342
219.5,501,202.413996
320.0,501,203.792285
176.0,501,205.169936
-27.0,501,206.550228
262.0,501,207.897467
197.0,501,209.289646
197.5,501,210.667447
200.5,501,212.057577
172.5,501,213.437384
243.0,501,214.805923
33.0,501,216.06512
85.0,501,217.432026
-42.0,501,218.789556
307.5,501,220.154139
169.5,501,221.527934
118.0,501,222.911175
271.5,501,224.272448
150.0,501,225.638676
86.5,501,227.021483
202.5,501,228.383289
272.5,501,229.758822
170.0,501,231.010181
36.0,501,232.381145
301.0,501,233.749584
200.5,501,235.147103
45.0,501,236.520257
206.5,501,237.91366
316.0,501,239.293133
200.0,501,240.667156
215.0,501,242.036
281.0,501,243.423739
206.0,501,244.785432
246.5,501,246.162225
263.0,501,247.411388
188.5,501,248.781035
102.5,501,250.17069
320.0,501,251.558781
-22.0,501,252.919434
306.0,501,254.293496
178.0,501,255.667246
217.0,501,257.031896
318.5,501,258.407003
309.0,501,259.767916
161.5,501,261.141863
214.5,501,262.490766
271.5,501,263.738313
238.5,501,265.112117
130.5,501,266.470924
-4.0,501,267.862667
173.0,501,269.235806
257.5,501,270.594496
117.0,501,271.955914
100.5,501,273.337623
250.0,501,274.717355
302.0,501,276.112955
84.0,501,277.489175
241.0,501,278.762339
191.0,501,280.128305
226.0,501,281.499412
322.0,501,282.891794
278.0,501,284.262278
113.5,501,285.619661
163.5,501,287.01175
230.5,501,288.376878
261.5,501,289.737058
218.0,501,291.124293
332.5,501,292.499228
228.5,501,293.870425
185.0,501,295.134514
183.5,501,296.516458
154.0,501,297.884995
267.5,501,299.251237
262.5,501,300.620609
304.5,501,301.984506
240.5,501,303.3531
261.5,501,304.736096
271.5,501,306.122617
199.0,501,307.502119
231.0,501,308.875743
213.5,501,310.258686
338.0,501,311.503502
227.0,501,312.885541
-40.0,501,314.260448
301.5,501,315.621384
184.0,501,316.994869
-158.0,501,318.37408
-140.0,501,319.737877
-34.5,501,321.110298
112.5,501,322.483407
7.0,501,323.863469
39.0,501,325.230242
-366.0,501,326.486707
83.0,501,327.863353
221.5,501,329.231188
219.0,501,330.601336
178.0,501,331.970321
-175.5,501,333.345037
213.5,501,334.714814
34.0,501,336.079885
-35.0,501,337.459727
256.0,501,338.830754
190.0,501,340.194068
259.5,501,341.56708
198.5,501,342.809978
246.5,501,344.201236
240.0,501,345.591411
251.5,501,346.987402
303.5,501,348.358248
-68.5,501,349.715689
91.5,501,351.094162
104.5,501,352.465066
297.5,501,353.846407
32.0,501,355.228069
12.0,501,356.607684
175.5,501,357.839953
219.0,501,359.226264
299.0,501,360.593935
303.0,501,361.952258
146.5,501,363.317941
235.0,501,364.681755
146.5,501,366.064141
253.5,501,367.428915
205.0,501,368.820911
219.5,501,370.20662
252.5,501,371.584282
1.5,501,372.968911
214.5,501,374.229792
232.5,501,375.612182
296.5,501,376.985411
294.0,501,378.366502
227.0,501,379.739546
214.5,501,381.112438
178.0,501,382.483568
308.0,501,383.867522
209.0,501,385.243627
133.0,501,386.614656
-57.5,501,387.991224
257.5,501,389.381687
223.0,501,390.636438
258.5,501,392.0105
224.0,501,393.40016
252.0,501,394.772282
194.5,501,396.14297
154.5,501,397.576378
213.5,501,398.97481
-99.5,501,400.349664
167.0,501,401.72893
298.5,501,403.107087
331.5,501,404.470999
206.0,501,405.719811
208.0,501,407.071769
132.0,501,408.443457
139.0,501,409.801387
305.0,501,411.161427
-52.5,501,412.513103
172.0,501,413.882867
197.0,501,415.259149
258.5,501,416.630697
228.5,501,417.988202
323.0,501,419.347476
293.5,501,420.711308
245.5,501,421.938169
140.5,501,423.344531
182.0,501,424.719708
183.5,501,426.067981
211.0,501,427.433009
92.5,501,428.793463
315.5,501,430.178597
271.5,501,431.54669
318.0,501,432.904777
38.0,501,434.260473
207.0,501,435.621841
176.5,501,436.985077
141.0,501,438.219641
206.5,501,439.614222
278.5,501,440.987391
217.0,501,442.369363
252.0,501,443.731375
81.0,501,445.095731
151.0,501,446.455002
258.0,501,447.812057
263.0,501,449.182005
202.0,501,450.53355
208.5,501,451.895512
-34.5,501,453.150901
321.5,501,454.527509
295.0,501,455.880433
254.5,501,457.243231
269.5,501,458.625562
243.5,501,459.977161
238.0,501,461.356276
146.0,501,462.720322
269.5,501,464.081308
-143.0,501,465.456607
58.5,501,466.821475
188.0,501,468.186625
204.0,501,469.470774
228.0,501,470.840617
292.0,501,472.20242
133.5,501,473.55932
204.0,501,474.931398
296.5,501,476.283767
202.5,501,477.676406
255.5,501,479.037046
282.0,501,480.397693
112.0,501,481.759803
232.0,501,483.133443
262.5,501,484.483874
214.5,501,485.721174
-1.5,501,487.078395
208.0,501,488.454704
287.5,501,489.828882
219.0,501,491.195877
255.5,501,492.560616
249.5,501,493.927083
260.0,501,495.281797
210.5,501,496.641282
233.5,501,498.020539
180.0,501,499.402293
84.5,501,500.623944
131.5,501,501.977817
314.5,501,503.335745
96.5,501,504.694653
265.0,501,506.072364
242.5,501,507.485306
19.5,501,508.849642
82.5,501,510.204376
-28.5,501,511.569888
46.5,501,512.951897
151.0,501,514.319221
300.5,501,515.679588
337.0,501,516.930607
131.5,501,518.299543
226.0,501,519.675752
89.0,501,521.049872
329.5,501,522.440519
136.0,501,523.802671
201.5,501,525.167382
-142.5,501,526.529076
97.0,501,527.886203
270.0,501,529.241882
93.5,501,530.590863
59.5,501,531.831868
343.0,501,533.195394
295.0,501,534.574768
98.0,501,535.928379
280.5,501,537.293391
260.5,501,538.640393
294.0,501,540.020821
23.5,501,541.377747
262.0,501,542.770234
257.0,501,544.137596
162.5,501,545.498136
-204.0,501,546.842533
99.5,501,548.084761
207.0,501,549.44838
132.5,501,550.818547
41.0,501,552.174041
52.0,501,553.537608
-86.5,501,554.90379
303.0,501,556.262218
283.0,501,557.623856
218.0,501,558.966721
340.0,501,560.326473
373.0,501,561.681813
298.0,501,563.043721
183.5,501,564.280883
256.0,501,565.637705
249.0,501,566.990927
247.0,501,568.359021
37.5,501,569.713303
261.0,501,571.081769
68.5,501,572.459611
-17.5,501,573.822448
343.0,501,575.195026
261.5,501,576.563154
224.0,501,577.927987
223.0,501,579.160686
2.0,501,580.546494
82.0,501,581.904793
339.5,501,583.297565
2.5,501,584.658242
183.0,501,586.011162
138.5,501,587.377499
253.0,501,588.740503
165.0,501,590.099591
169.5,501,591.469477
24.5,501,592.842962
132.0,501,594.224851
248.5,501,595.533906
150.0,501,596.890053
122.0,501,598.258831
236.5,501,599.621122
206.5,501,600.980428
360.0,501,602.345994
64.0,501,603.707715
260.0,501,605.070486
275.5,501,606.466415
317.5,501,607.823435
205.5,501,609.185725
262.5,501,610.5365
48.5,501,611.792246
185.5,501,613.164321
266.0,501,614.535145
350.0,501,615.910135
277.0,501,617.261783
-91.0,501,618.617187
200.5,501,619.9684
136.0,501,621.349272
232.5,501,622.716106
190.5,501,624.068193
364.0,501,625.439575
173.5,501,626.666934
249.0,501,628.016932
157.0,501,629.375448
297.0,501,630.739382
243.5,501,632.122128
206.5,501,633.489597
293.5,501,634.887883
305.0,501,636.24891
92.0,501,637.649378
164.5,501,639.026825
234.0,501,640.380376
296.0,501,641.751177
230.0,501,642.999417
228.0,501,644.373122
89.5,501,645.746298
-9.0,501,647.138226
-148.5,501,648.489858
25.0,501,649.850505
248.5,501,651.216977
235.0,501,652.573553
69.0,501,653.990234
326.5,501,655.348618
203.0,501,656.713907
249.5,501,658.073953
232.0,501,659.31487
-5.5,501,660.677749
219.5,501,662.036643
117.0,501,663.399817
315.0,501,664.762791
250.5,501,666.131361
128.5,501,667.483405
284.0,501,668.844891
277.0,501,670.201622
162.0,501,671.566073
329.5,501,672.927407
249.0,501,674.169423
199.5,501,675.574131
353.0,501,676.949076
228.0,501,678.331913
54.0,501,679.703881
132.5,501,681.068403
203.5,501,682.437683
127.5,501,683.790225
264.0,501,685.157867
305.5,501,686.511247
268.5,501,687.866825
133.0,501,689.224213
-227.5,501,690.458126
205.5,501,691.810737
267.5,501,693.169976
271.5,501,694.55029
173.0,501,695.91001
248.5,501,697.266529
-248.5,501,698.625124
133.0,501,699.999917
249.5,501,701.358922
374.5,501,702.728176
222.5,501,704.104589
101.5,501,705.352835
211.5,501,706.716567
370.0,501,708.084749
275.5,501,709.442417
261.0,501,710.803555
336.5,501,712.166774
298.0,501,713.541908
267.5,501,714.889204
211.5,501,716.26269
193.0,501,717.626563
169.0,501,718.991159
123.0,501,720.364433
296.5,501,721.615766
274.5,501,722.989896
298.0,501,724.351798
180.0,501,725.722956
164.0,501,727.097839
230.5,501,728.448634
194.0,501,729.810508
305.5,501,731.187737
262.5,501,732.547613
254.0,501,733.904804
276.5,501,735.264634
284.5,501,736.628628
224.0,501,737.874217
273.0,501,739.23535
259.0,501,740.606413
79.5,501,742.061319
385.5,501,743.428292
224.0,501,744.80549
290.0,501,746.165123
222.0,501,747.516503
250.0,501,748.875502
321.5,501,750.230644
383.5,501,751.595233
265.0,501,752.826446
217.5,501,754.177538
375.5,501,755.529068
247.5,501,756.887565
146.5,501,758.246163
-18.0,501,759.619682
325.0,501,761.004394
263.5,501,762.359067
140.5,501,763.715778
82.5,501,765.086337
174.0,501,766.437535
302.5,501,767.816509
149.0,501,769.060406
230.5,501,770.418734
322.5,501,771.794267
